Date,Open,High,Low,Close,Adj Close,Volume
2019-08-13,100.000000,102.400002,97.099998,98.099998,98.099998,22374374
2019-08-14,98.349998,101.500000,98.099998,101.099998,101.099998,21623579
2019-08-16,100.050003,103.250000,99.449997,102.449997,102.449997,24121786
2019-08-19,102.699997,103.199997,101.150002,102.599998,102.599998,19400781
2019-08-20,102.250000,102.250000,97.849998,98.699997,98.699997,25137708
2019-08-21,98.699997,99.699997,93.300003,94.849998,94.849998,30942720
2019-08-22,94.300003,95.000000,89.650002,90.650002,90.650002,32838820
2019-08-23,90.750000,94.599998,89.900002,93.500000,93.500000,26850219
2019-08-26,99.900002,99.900002,91.500000,95.050003,95.050003,43374486
2019-08-27,97.000000,99.199997,96.650002,97.300003,97.300003,35349172
2019-08-28,97.199997,97.650002,93.750000,94.500000,94.500000,24947200
2019-08-29,94.000000,96.000000,91.349998,91.800003,91.800003,28470571
2019-08-30,92.300003,93.550003,89.099998,92.599998,92.599998,39229554
2019-09-03,92.000000,93.449997,90.300003,91.449997,91.449997,27311759
2019-09-04,91.400002,93.699997,91.000000,93.300003,93.300003,29081927
2019-09-05,93.650002,96.000000,91.800003,93.750000,93.750000,23259084
2019-09-06,94.000000,95.400002,93.150002,94.400002,94.400002,19983569
2019-09-09,94.000000,96.250000,93.300003,95.550003,95.550003,18357251
2019-09-11,95.550003,99.650002,95.550003,99.050003,99.050003,21886257
2019-09-12,99.550003,102.500000,98.900002,101.099998,101.099998,37650231
2019-09-13,100.800003,101.400002,96.750000,99.949997,99.949997,32807009
2019-09-16,98.949997,100.250000,97.500000,98.849998,98.849998,17038914
2019-09-17,98.550003,99.500000,94.900002,95.150002,95.150002,19835966
2019-09-18,95.900002,96.900002,94.349998,95.949997,95.949997,20640002
2019-09-19,95.949997,96.000000,93.750000,94.599998,94.599998,18279548
2019-09-20,94.699997,102.750000,90.750000,100.300003,100.300003,70332391
2019-09-23,102.949997,103.150002,98.500000,100.699997,100.699997,48127877
2019-09-24,100.000000,101.599998,98.750000,99.199997,99.199997,23331962
2019-09-25,98.150002,98.400002,93.000000,93.500000,93.500000,23376094
2019-09-26,93.949997,97.750000,93.750000,95.750000,95.750000,29876161
2019-09-27,94.500000,96.699997,93.849998,95.099998,95.099998,23168151
2019-09-30,95.099998,95.500000,91.500000,93.050003,93.050003,26815456
