Date,Open,High,Low,Close,Adj Close,Volume
2019-08-13,64.550003,65.500000,62.599998,62.950001,62.950001,6934344
2019-08-14,63.250000,64.300003,62.700001,63.150002,63.150002,7329705
2019-08-16,63.000000,65.099998,62.250000,64.349998,64.349998,8615614
2019-08-19,65.150002,65.250000,63.500000,64.150002,64.150002,6658503
2019-08-20,64.300003,64.449997,61.349998,61.750000,61.750000,9159600
2019-08-21,61.500000,62.250000,59.500000,60.250000,60.250000,8620741
2019-08-22,60.099998,60.750000,58.000000,58.549999,58.549999,7526923
2019-08-23,58.000000,59.950001,57.599998,59.400002,59.400002,8302965
2019-08-26,62.000000,62.799999,59.299999,61.450001,61.450001,10644199
2019-08-27,62.299999,64.849998,61.549999,62.650002,62.650002,19468560
2019-08-28,62.900002,63.450001,59.799999,60.299999,60.299999,9706964
2019-08-29,59.900002,60.700001,58.500000,59.650002,59.650002,6468842
2019-08-30,60.000000,60.400002,57.599998,58.849998,58.849998,14455985
2019-09-03,59.750000,59.750000,51.799999,53.599998,53.599998,20506863
2019-09-04,53.299999,54.750000,52.400002,53.700001,53.700001,13706474
2019-09-05,54.000000,54.849998,53.150002,54.549999,54.549999,10457052
2019-09-06,54.799999,55.900002,54.200001,55.099998,55.099998,8495003
2019-09-09,55.299999,56.799999,54.400002,56.299999,56.299999,8513587
2019-09-11,56.450001,59.950001,56.299999,59.700001,59.700001,10448953
2019-09-12,60.000000,60.299999,58.650002,59.150002,59.150002,9794065
2019-09-13,59.250000,59.750000,56.349998,59.349998,59.349998,13274094
2019-09-16,59.000000,60.250000,58.099998,59.150002,59.150002,7070515
2019-09-17,59.150002,59.599998,56.000000,56.250000,56.250000,8183109
2019-09-18,56.799999,57.750000,56.500000,56.799999,56.799999,7245736
2019-09-19,56.900002,57.000000,54.500000,55.500000,55.500000,8260037
2019-09-20,55.599998,60.349998,54.250000,59.500000,59.500000,18547210
2019-09-23,60.549999,61.950001,57.799999,61.049999,61.049999,12395820
2019-09-24,61.349998,61.400002,59.099998,59.900002,59.900002,7216136
2019-09-25,59.500000,59.500000,55.750000,56.349998,56.349998,9728056
2019-09-26,56.599998,59.000000,56.150002,56.549999,56.549999,13245454
2019-09-27,56.650002,57.099998,55.049999,55.900002,55.900002,9577332
2019-09-30,55.900002,55.950001,52.049999,52.799999,52.799999,11455902
2019-10-01,53.099998,53.799999,48.950001,50.900002,50.900002,13418964
2019-10-03,50.900002,52.400002,49.900002,51.500000,51.500000,10569763
2019-10-04,51.849998,52.349998,50.099998,50.450001,50.450001,10025246
2019-10-07,50.700001,50.799999,49.150002,49.599998,49.599998,8126968
2019-10-09,49.599998,51.599998,48.250000,51.150002,51.150002,11764776
2019-10-10,50.900002,51.000000,48.799999,49.099998,49.099998,9014951
2019-10-11,49.349998,49.950001,48.099998,49.000000,49.000000,11489853
2019-10-14,49.150002,51.150002,49.049999,49.500000,49.500000,11389521
2019-10-15,49.700001,50.349998,48.799999,50.099998,50.099998,7995735
2019-10-16,50.099998,51.299999,49.500000,50.250000,50.250000,8675787
2019-10-17,50.200001,52.500000,49.799999,52.200001,52.200001,9455141
2019-10-18,52.000000,53.849998,51.700001,52.099998,52.099998,14907810
2019-10-22,52.099998,54.549999,51.500000,52.599998,52.599998,10565637
2019-10-23,52.799999,54.099998,51.750000,53.700001,53.700001,10388752
2019-10-24,54.000000,54.349998,50.500000,51.450001,51.450001,13677523
2019-10-25,51.000000,53.750000,50.750000,53.450001,53.450001,13422215
2019-10-27,null,null,null,null,null,null
2019-10-29,53.299999,55.650002,52.900002,54.250000,54.250000,9962696
2019-10-30,54.450001,57.549999,53.799999,57.099998,57.099998,13854280
2019-10-31,57.450001,58.400002,56.450001,57.349998,57.349998,12628217
2019-11-01,57.349998,59.900002,57.000000,58.900002,58.900002,12440737
2019-11-04,58.799999,59.900002,57.900002,58.750000,58.750000,10931475
2019-11-05,59.099998,59.500000,56.950001,57.200001,57.200001,10776611
2019-11-06,57.049999,58.049999,56.200001,57.299999,57.299999,8444342
2019-11-07,57.299999,58.049999,55.500000,55.849998,55.849998,8015791
2019-11-08,56.150002,56.150002,54.400002,54.700001,54.700001,8975315
2019-11-11,54.299999,55.599998,53.799999,55.200001,55.200001,7557199
2019-11-13,55.049999,55.599998,52.400002,52.750000,52.750000,8501076
2019-11-14,53.000000,54.049999,50.849998,52.299999,52.299999,13374384
2019-11-15,51.599998,54.900002,51.099998,53.549999,53.549999,31377345
2019-11-18,53.549999,55.000000,53.549999,54.750000,54.750000,12085747
2019-11-19,54.950001,60.000000,54.799999,58.950001,58.950001,29201112
2019-11-20,60.049999,60.650002,57.599998,58.349998,58.349998,19180548
2019-11-21,58.299999,59.099998,57.349998,57.549999,57.549999,8633849
2019-11-22,57.599998,58.099998,56.549999,56.849998,56.849998,8218088
2019-11-25,56.849998,58.299999,56.700001,57.950001,57.950001,9047151
2019-11-26,58.250000,59.200001,56.650002,57.500000,57.500000,12012502
2019-11-27,57.500000,59.150002,57.000000,58.599998,58.599998,8516049
2019-11-28,59.049999,65.199997,58.799999,64.800003,64.800003,32833625
2019-11-29,64.849998,65.800003,62.400002,63.049999,63.049999,17402732
2019-12-02,63.700001,63.700001,62.099998,62.349998,62.349998,9957637
2019-12-03,62.150002,62.599998,58.799999,59.200001,59.200001,12732434
2019-12-04,58.799999,61.000000,58.000000,59.700001,59.700001,20739104
2019-12-05,60.000000,60.650002,57.650002,58.150002,58.150002,14512861
2019-12-06,58.500000,58.799999,54.549999,54.950001,54.950001,14879906
2019-12-09,54.950001,56.849998,54.450001,55.599998,55.599998,12906205
2019-12-10,55.599998,56.000000,53.700001,53.950001,53.950001,11951873
2019-12-11,53.849998,55.150002,53.200001,54.400002,54.400002,11382369
2019-12-12,54.799999,56.400002,54.549999,55.799999,55.799999,12161750
2019-12-13,56.200001,59.950001,56.150002,59.599998,59.599998,21625185
2019-12-16,60.299999,60.450001,58.000000,58.250000,58.250000,12774931
2019-12-17,58.599998,59.200001,57.799999,58.250000,58.250000,11766184
2019-12-18,58.000000,58.200001,55.650002,56.549999,56.549999,14025723
2019-12-19,56.599998,57.450001,55.799999,56.849998,56.849998,11685641
2019-12-20,57.099998,59.849998,56.849998,59.150002,59.150002,21863110
2019-12-23,59.000000,60.099998,57.650002,58.450001,58.450001,14498096
2019-12-24,58.700001,59.349998,58.000000,58.349998,58.349998,12033545
2019-12-26,58.349998,58.500000,54.000000,54.450001,54.450001,26846326
2019-12-27,54.900002,56.349998,54.750000,55.500000,55.500000,14585338
2019-12-30,55.400002,55.450001,54.349998,55.000000,55.000000,7345559
2019-12-31,54.900002,55.250000,54.500000,54.799999,54.799999,6146968
2020-01-01,55.049999,55.599998,54.150002,54.549999,54.549999,4807629
2020-01-02,54.450001,55.450001,54.450001,55.150002,55.150002,5754393
2020-01-03,55.099998,55.500000,54.349998,54.750000,54.750000,5525524
2020-01-06,54.150002,54.299999,52.799999,52.950001,52.950001,5204531
2020-01-07,53.599998,54.299999,52.250000,52.700001,52.700001,5527537
2020-01-08,51.900002,52.599998,51.000000,51.950001,51.950001,4490512
2020-01-09,52.900002,53.400002,52.250000,52.549999,52.549999,5088100
2020-01-10,52.450001,53.450001,52.299999,52.650002,52.650002,4761614
2020-01-13,53.299999,53.299999,52.150002,52.549999,52.549999,3714041
2020-01-14,52.250000,52.950001,51.849998,52.500000,52.500000,3239557
2020-01-15,52.500000,52.900002,52.200001,52.650002,52.650002,2829991
2020-01-16,52.799999,53.150002,52.400002,52.750000,52.750000,3704771
2020-01-17,52.500000,53.099998,52.200001,52.599998,52.599998,3655362
2020-01-20,52.750000,52.849998,51.599998,52.000000,52.000000,2391889
2020-01-21,51.799999,52.299999,51.500000,51.750000,51.750000,2308022
2020-01-22,52.000000,52.200001,51.299999,51.500000,51.500000,1736721
2020-01-23,51.500000,52.849998,51.349998,52.400002,52.400002,3343402
2020-01-24,52.400002,53.000000,52.150002,52.349998,52.349998,2862184
2020-01-27,52.000000,52.349998,51.599998,51.849998,51.849998,1991306
2020-01-28,51.900002,52.099998,51.000000,51.500000,51.500000,2011311
2020-01-29,51.799999,51.950001,51.200001,51.500000,51.500000,1710263
2020-01-30,51.250000,51.500000,50.200001,50.599998,50.599998,1971860
2020-01-31,50.900002,51.400002,49.099998,49.900002,49.900002,2160583
2020-02-03,48.250000,48.900002,47.349998,47.650002,47.650002,2917775
2020-02-04,47.900002,48.400002,47.500000,48.000000,48.000000,2484469
2020-02-05,48.200001,48.700001,48.000000,48.500000,48.500000,1708093
2020-02-06,48.500000,50.650002,48.450001,49.000000,49.000000,4266040
2020-02-07,49.250000,49.500000,48.549999,48.950001,48.950001,2122619
2020-02-10,49.000000,52.400002,47.650002,50.950001,50.950001,6161761
2020-02-11,51.900002,51.900002,49.200001,49.750000,49.750000,5602045
2020-02-12,49.700001,50.099998,48.549999,48.799999,48.799999,2404887
2020-02-13,48.599998,49.400002,48.000000,48.450001,48.450001,2720671
2020-02-14,48.450001,48.900002,47.400002,47.750000,47.750000,2627577
2020-02-17,47.750000,47.750000,46.549999,46.750000,46.750000,2161371
2020-02-18,46.500000,46.799999,40.049999,43.250000,43.250000,5665324
2020-02-19,43.500000,44.400002,43.200001,44.200001,44.200001,2615042
2020-02-20,43.900002,44.799999,43.700001,44.200001,44.200001,2389438
2020-02-24,43.049999,43.700001,41.500000,42.200001,42.200001,2115016
2020-02-25,42.450001,42.650002,41.549999,42.150002,42.150002,2322554
2020-02-26,41.900002,42.299999,41.000000,41.299999,41.299999,2347752
2020-02-27,41.299999,41.299999,40.200001,40.400002,40.400002,2026301
2020-02-28,38.549999,39.400002,36.799999,37.150002,37.150002,3523901
2020-03-02,38.000000,38.150002,36.099998,36.349998,36.349998,2675507
